unit,window_start_index,window_end_index,window_length,cycle_start,cycle_end,is_anomaly_window,reconstruction_error,predicted_anomaly,isolation_forest_score,local_outlier_factor_score,zscore_score,mad_score
1,0,19,20,1,20,0,1.221281886100769,0,0.027101756382783893,5.729750027252248,1.2352409925369805,1.3208829764043153
1,5,24,20,6,25,0,1.1956000328063965,0,0.027101756382783893,5.729750027252248,1.2352409925369805,1.3208829764043153
1,10,29,20,11,30,0,1.2042030096054077,0,0.022331288033700214,5.729750027252248,1.2170359977595133,1.2928862702869215
1,15,34,20,16,35,0,1.21461820602417,0,0.022331288033700214,5.729750027252248,1.2170359977595133,1.2928862702869215
1,20,39,20,21,40,0,1.2344584465026855,0,0.030688810991997162,5.641129003288882,1.2170359977595133,1.2928862702869215
1,25,44,20,26,45,0,1.2505834102630615,0,0.030688810991997162,5.637093647884947,1.2170359977595133,1.2928862702869215
1,30,49,20,31,50,0,1.2566863298416138,0,0.030688810991997162,5.62441053058582,1.2158461409455448,1.294906286544576
1,35,54,20,36,55,0,1.2563468217849731,0,0.030688810991997162,5.630488232897173,1.2158461409455448,1.294906286544576
1,40,59,20,41,60,0,1.2533719539642334,0,0.032769932376838895,5.632190791097858,1.222126129185325,1.3042435924518896
1,45,64,20,46,65,0,1.2644835710525513,0,0.032769932376838895,5.798119802229267,1.222126129185325,1.3042435924518896
1,50,69,20,51,70,0,1.248971939086914,0,0.032769932376838895,5.798119802229267,1.222126129185325,1.3042435924518896
1,55,74,20,56,75,0,1.223387360572815,0,0.032769932376838895,5.798119802229267,1.222126129185325,1.3042435924518896
1,60,79,20,61,80,0,1.2209066152572632,0,0.031476993328847236,5.798119802229267,1.2027262920353894,1.2886951760699752
1,65,84,20,66,85,0,1.1906601190567017,0,0.029744495964909134,5.651520270216171,1.1683588096094484,1.2518656584220487
1,70,89,20,71,90,0,1.1886823177337646,0,0.029744495964909134,5.651520270216171,1.1683588096094484,1.2518656584220487
1,75,94,20,76,95,0,1.1967066526412964,0,0.029744495964909134,5.5529621303302985,1.1683588096094484,1.2518656584220487
1,80,99,20,81,100,0,1.1924415826797485,0,0.023906026250072876,5.575166890029892,1.141350857937586,1.2239290733079238
1,85,104,20,86,105,0,1.20073401927948,0,0.027985935028752684,5.788393011784133,1.1639035477813886,1.2463205638646462
1,90,109,20,91,110,0,1.208984136581421,0,0.027985935028752684,5.788393011784133,1.1639035477813886,1.2463205638646462
1,95,114,20,96,115,0,1.222503423690796,0,0.027985935028752684,5.788393011784133,1.1639035477813886,1.2463205638646462
1,100,119,20,101,120,0,1.2430648803710938,0,0.02955623136452079,5.788393011784133,1.2014490873502701,1.2871770484404133
1,105,124,20,106,125,0,1.2431182861328125,0,0.02955623136452079,5.726502649563653,1.2014490873502701,1.2871770484404133
1,110,129,20,111,130,0,1.2480056285858154,0,0.03271357836099853,5.726502649563653,1.2014490873502701,1.2871770484404133
1,115,134,20,116,135,0,1.2304691076278687,0,0.03271357836099853,5.726502649563653,1.2014490873502701,1.2871770484404133
1,120,139,20,121,140,0,1.2366235256195068,0,0.03271357836099853,5.631080051033043,1.3112791488567064,1.3832456362909682
1,125,144,20,126,145,0,1.2449177503585815,0,0.03540941158589139,5.6165194624518895,1.3112791488567064,1.3832456362909682
1,130,149,20,131,150,1,1.2300103902816772,0,0.03540941158589139,5.6165194624518895,1.3112791488567064,1.3832456362909682
1,135,154,20,136,155,1,1.2335772514343262,0,0.03540941158589139,5.465913510858673,1.3112791488567064,1.3832456362909682
1,140,159,20,141,160,1,1.228991985321045,0,0.03540941158589139,5.509978024982202,1.212901586327624,1.2948511260713487
1,145,164,20,146,165,1,1.9552127122879028,1,0.044724424755807846,13.627332541642392,4.042693717288919,4.232127786305138
1,150,169,20,151,170,1,2.7813711166381836,1,0.044724424755807846,19.562865113406854,4.198807670990869,4.33955890441649
1,155,174,20,156,175,1,2.806720495223999,1,0.044724424755807846,19.562865113406854,4.198807670990869,4.33955890441649
1,160,179,20,161,180,1,4.115576267242432,1,0.046099010793465456,19.562865113406854,4.198807670990869,4.33955890441649
1,165,184,20,166,185,1,3.378540277481079,1,0.046099010793465456,19.562865113406854,4.198807670990869,4.33955890441649
1,170,189,20,171,190,1,2.5586674213409424,1,0.046099010793465456,17.790876578989483,3.8562250523750445,4.298860905736377
1,175,194,20,176,195,1,2.5751402378082275,1,0.046099010793465456,17.790876578989483,3.8562250523750445,4.298860905736377
1,180,199,20,181,200,1,1.2395042181015015,0,0.033135135414550376,5.721767501921987,1.328348615683431,1.410671502198404
1,185,204,20,186,205,1,1.2282620668411255,0,0.033135135414550376,5.721767501921987,1.328348615683431,1.410671502198404
1,190,209,20,191,210,1,3.012789011001587,1,0.04291966393273283,21.225401272519765,4.578056120290736,4.3629316022021944
2,0,19,20,1,20,0,1.5441854000091553,1,0.04545674314022419,4.736876626393065,1.315349730455635,1.435528437570784
2,5,24,20,6,25,0,1.5601308345794678,1,0.04829218029263094,4.736876626393065,1.3496489115139172,1.4745297172147136
2,10,29,20,11,30,0,1.569920301437378,1,0.05284810613389079,4.754810936778154,1.3496489115139172,1.4745297172147136
2,15,34,20,16,35,0,1.5631436109542847,1,0.05284810613389079,4.754810936778154,1.3496489115139172,1.4745297172147136
2,20,39,20,21,40,0,1.5573011636734009,1,0.05284810613389079,4.754810936778154,1.3496489115139172,1.4745297172147136
2,25,44,20,26,45,0,1.5223935842514038,1,0.05284810613389079,4.754810936778154,1.342196830208555,1.4622057483192057
2,30,49,20,31,50,0,1.520965576171875,1,0.04710526884125965,4.752627400071614,1.3033897007406823,1.4202989007287747
2,35,54,20,36,55,0,1.5183634757995605,1,0.04710526884125965,4.735553417918643,1.3033897007406823,1.4202989007287747
2,40,59,20,41,60,0,1.5216001272201538,1,0.043905284205760786,4.683271310800521,1.3163653857254756,1.4338218377063483
2,45,64,20,46,65,0,1.5217292308807373,1,0.043905284205760786,4.733992013398965,1.3163653857254756,1.4338218377063483
2,50,69,20,51,70,0,1.5084941387176514,1,0.04374140136103288,4.733992013398965,1.3163653857254756,1.4338218377063483
2,55,74,20,56,75,1,1.4975727796554565,1,0.04374140136103288,4.768835566993947,1.3163653857254756,1.4338218377063483
2,60,79,20,61,80,1,2.082474708557129,1,0.046216638226420304,13.209067104579363,3.7168615104130165,4.1394142987911025
